#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
jcn-brown-thresh01	200	20	0.001	0.8792883183343618	0.3969547164251746	0.3676671679596215
jcn-brown-thresh01	200	20	0.002	0.8661525755963843	0.40339202469615976	0.37776313387140914
jcn-brown-thresh01	200	20	0.004	0.8557346574807957	0.40977016570941177	0.39287260257209167
jcn-brown-thresh01	200	60	0.0005	0.8674993724433251	0.4177134868509376	0.3590597571339199
jcn-brown-thresh01	200	60	0.001	0.8786388563310473	0.4290310478451673	0.40379685092987294
jcn-brown-thresh01	200	60	0.002	0.8744545222945567	0.40762854659230574	0.381726609759726
jcn-brown-thresh01	200	60	0.004	0.8877682902532951	0.43139991147978757	0.3828766486488496
jcn-brown-thresh01	300	100	0.001	0.8849849832222658	0.419681382124792	0.4140906623665531
jcn-brown-thresh01	300	10	0.0005	0.8968433924624185	0.4321551927976072	0.4188339583913861
jcn-brown-thresh01	300	10	0.001	0.8955549082690777	0.4495378140942412	0.4349086905646306
jcn-brown-thresh01	300	10	0.002	0.8878365552580844	0.4312788552298426	0.44228409090110304
jcn-brown-thresh01	300	10	0.004	0.8867286960833662	0.4226508553753307	0.4590547086357222
jcn-brown-thresh01	300	20	0.0005	0.9040285431807235	0.43113161751912926	0.4603831596458551
jcn-brown-thresh01	300	20	0.001	0.8840449938079115	0.44595938322128625	0.471799589738995
jcn-brown-thresh01	300	20	0.002	0.8815412056688514	0.44184883294630783	0.4380565821863916
jcn-brown-thresh01	300	20	0.004	0.9009279389450474	0.4182910632810444	0.4108801800349723
jcn-brown-thresh01	300	60	0.0005	0.928428214818129	0.4383954799906618	0.47195845191692115
jcn-brown-thresh01	300	60	0.001	0.8985456913560198	0.45530246803142965	0.4354923498282658
jcn-brown-thresh01	300	60	0.002	0.9006156991596785	0.43954571747965276	0.42001211430297497
jcn-brown-thresh01	300	60	0.004	0.8717606036259425	0.45273335379811686	0.42090000450727727
