#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
jcn-semcor-thresh01	64	20	0.0005	0.7753794319088223	0.4259183222537732	0.3478009689008509
jcn-semcor-thresh01	64	20	0.001	0.7101011985313262	0.32941284753819183	0.3263806124718943
jcn-semcor-thresh01	64	20	0.002	0.7506128444314435	0.37285028814519955	0.29360285787446044
jcn-semcor-thresh01	64	20	0.004	0.7322095921711379	0.3649769804964617	0.32186047347624197
jcn-semcor-thresh01	64	60	0.0005	0.7765547242596212	0.35722716647308284	0.28555746503127005
jcn-semcor-thresh01	64	60	0.001	0.7297745139729646	0.3592213244737625	0.27381275219372936
jcn-semcor-thresh01	64	60	0.002	0.7758591559221899	0.37975679101211707	0.3089126512803371
jcn-semcor-thresh01	64	60	0.004	0.8055084519547815	0.41329526290836976	0.3578771510960707
jcn-semcor-thresh01	100	10	0.0005	0.8181926115984632	0.42443511912801696	0.36366476676461224
jcn-semcor-thresh01	100	10	0.001	0.8360210034180074	0.41252277778342605	0.35717580334254706
jcn-semcor-thresh01	100	10	0.002	0.7792489496988529	0.4306665912144764	0.35476198451682733
jcn-semcor-thresh01	100	10	0.004	0.7596077052262272	0.3742547640847894	0.37340769742290897
jcn-semcor-thresh01	100	200	0.001	0.45073965678003974	0.19237936484554743	0.3061415719442957
jcn-semcor-thresh01	100	20	0.0005	0.7904570932633002	0.43500552349230753	0.37012925009175085
jcn-semcor-thresh01	100	20	0.001	0.805636593654275	0.3888056239186935	0.36540825127831894
jcn-semcor-thresh01	100	20	0.002	0.8271466677214635	0.4012372275218873	0.3390247123521671
jcn-semcor-thresh01	100	20	0.004	0.8076329759311677	0.3775902090993201	0.3742667552649301
jcn-semcor-thresh01	100	60	0.0005	0.8485987946863133	0.42636635225182773	0.3781228739628492
jcn-semcor-thresh01	100	60	0.001	0.8231374106870969	0.39772807897379236	0.3520351671459255
jcn-semcor-thresh01	100	60	0.002	0.8027589401459158	0.4119824322381253	0.3784262935186215
jcn-semcor-thresh01	100	60	0.004	0.7965416202526117	0.4189009797958056	0.42774658572885205
jcn-semcor-thresh01	200	100	0.001	0.8640447542555502	0.46397722955881243	0.4503616841776444
jcn-semcor-thresh01	200	10	0.0005	0.8753441345475492	0.4402762232980537	0.4311655437337254
jcn-semcor-thresh01	200	10	0.001	0.9008785972969284	0.44925847526648427	0.41351871967652293
jcn-semcor-thresh01	200	10	0.002	0.8671524291217735	0.4590672205095016	0.42966091668414225
jcn-semcor-thresh01	200	10	0.004	0.9027076174556048	0.47081095649486454	0.4479730576046969
jcn-semcor-thresh01	200	20	0.0005	0.8727515450354478	0.436060195613487	0.45238361596206406
jcn-semcor-thresh01	200	20	0.001	0.8264866841450897	0.4246239750044296	0.44344010873777073
jcn-semcor-thresh01	200	20	0.002	0.8765527165235614	0.4352360787787304	0.44627098733690723
jcn-semcor-thresh01	200	20	0.004	0.8467687183589299	0.4049237965991783	0.445581747356284
jcn-semcor-thresh01	200	60	0.0005	0.8698977162558104	0.41391754484918014	0.4364243489061572
jcn-semcor-thresh01	200	60	0.001	0.8850442113746856	0.44565989539726164	0.44088629485361247
jcn-semcor-thresh01	200	60	0.002	0.8836639207400084	0.43663243013770453	0.42514745383541847
jcn-semcor-thresh01	200	60	0.004	0.847272531143196	0.42116787996775534	0.4569729733875397
jcn-semcor-thresh01	300	1000	0.005	0.7581455615167427	0.34921082558260497	0.4666844434250204
jcn-semcor-thresh01	300	100	0.001	0.8890183711104749	0.449508042071548	0.47462318285251065
jcn-semcor-thresh01	300	10	0.0005	0.8951084023636259	0.4289549451932572	0.46653438921537366
jcn-semcor-thresh01	300	10	0.001	0.8917221833118181	0.4334646358441795	0.46148631082004826
jcn-semcor-thresh01	300	10	0.002	0.8814519175593557	0.44756852187550916	0.45042348179182357
jcn-semcor-thresh01	300	10	0.004	0.8970013410400238	0.44461338847960086	0.4500141988910248
jcn-semcor-thresh01	300	2000	0.005	0.7645032299824829	0.3549431031245824	0.4687527189980953
jcn-semcor-thresh01	300	20	0.0005	0.8903444315442254	0.447511873237166	0.46999380571969707
jcn-semcor-thresh01	300	20	0.001	0.9124952344198181	0.44752635530211354	0.48884105759713015
jcn-semcor-thresh01	300	20	0.002	0.8809559244857099	0.4332895917548136	0.46957007680105656
jcn-semcor-thresh01	300	20	0.004	0.8923522285675302	0.43586122463420784	0.4715510171689506
jcn-semcor-thresh01	300	60	0.0005	0.8918386462227224	0.44519575841813647	0.4617091841687715
jcn-semcor-thresh01	300	60	0.001	0.8989441836878366	0.46193668020281703	0.47147854886408674
jcn-semcor-thresh01	300	60	0.002	0.8940594846608295	0.45221663506867193	0.4626271359615939
jcn-semcor-thresh01	300	60	0.004	0.889730350684741	0.42915647541543045	0.4458076782742069
